winpercent,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent
66.971725,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001
67.602936,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
32.261086,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116
46.116505,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998
52.341465,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998
50.347546,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002
56.914547,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002
23.417824,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998
38.010963,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999
34.517681,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999
38.975037,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998
36.017628,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
24.524988,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999
42.272076,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998
39.460556,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002
43.088924,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002
39.185505,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999
46.783348,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001
57.11974,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
34.158958,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465
51.41243,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465
42.178772,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465
55.375454,HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002
62.284481,HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998
56.490501,HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998
59.236122,HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998
28.127439,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998
57.21925,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998
76.7686,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998
41.389557,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116
39.141056,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104
52.911392,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001
71.46505,Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002
66.574585,M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002
46.411716,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999
55.064072,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998
73.099556,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002
60.800701,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001
64.35334,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001
47.829754,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001
54.526451,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998
55.354046,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999
70.735641,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002
66.47068,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002
22.445341,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001
39.4468,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999
46.296597,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002
69.483788,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002
37.722336,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023
41.265511,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001
37.348522,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116
81.866257,ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001
84.18029,ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002
73.43499,ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002
72.887901,ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002
35.290756,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997
65.716286,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001
29.703691,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998
42.849144,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001
34.722,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081
63.08514,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22
55.103695,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22
37.887188,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001
45.995827,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116
76.673782,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002
59.529251,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002
59.863998,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116
52.825947,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116
67.037628,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22
34.578991,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998
33.43755,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002
32.230995,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999
27.303865,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116
54.861111,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755
48.982651,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999
43.068897,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998
45.736748,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011
49.653503,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999
47.173229,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255
81.642914,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002
45.466282,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116
39.011898,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116
44.375519,WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999
41.904308,WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999
49.524113,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999
